"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_sp"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ach_mil"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"	"Ant_odo"	"Ver_cha"	"Fes_ovi"	"Rum_ace"	"Des_ces"	"Phl_pra"	"Agr_sto"	"Cyn_cri"	"Cir_ole"	"Cre_bie"	"Cer_hol"	"Pla_med"	"Thy_pul"	"Urt_dio"	"Lol_mul"	"Cir_arv"	"Ran_bul"	"Tri_dub"	"Lot_cor"	"Car_car"	"Leo_his"	"Vic_sep"	"Med_lup"	"Pru_sp"
"Poa_tri"	0.0732040857631037	-0.0412869275422246	-0.0487433290444282	-0.0834863656594833	-0.0855154432916504	0.0404037394111335	0.0582122920172634	0.0378660972485375	-0.0541982340636634	0.0399011712515122	0.132606015994312	-0.0587099386358425	-0.178022109865133	0.1008440274988	-0.0380488832681437	-0.157334452399245	0.0487209505593722	0.115666347941127	-0.040567556626599	0.538859801123768	-0.0623064546010727	-0.157059575012886	0.113067341247722	-0.0103195489371467	0.854663480263759	-0.0278201574314137	-0.0577789573454364	0.208143016201346	-0.0253120039692666	-0.102677392523729	-0.139564148793335	-0.254733155718933	-0.494950727696972	-0.263001216706721	-0.31412432039101	-1.23578555184159	-0.137359952074634	-0.841183094927721	0.180626016069155	0.111950190653155	0.0165222613439564	0.0552161004248421	0.75864654009549	-0.192492014746074	-0.341188204984031	-0.0570030597565198	0.195380447908136	0.0778874617056003	0.0757075810934375	0.0949804515233293	-0.114657446651129
"Poa_pra"	-0.110611405835088	-0.152160694127201	-0.0449334870999328	-0.0130670252041688	-0.0147739919301566	-0.122540775225876	-0.0721234995754852	-0.0585671981990489	0.00543445384034692	-0.155615592673344	-0.0884851191089682	-0.00907809755811667	-0.229893405923066	-0.0484422876704354	-0.0497397481912818	-0.0831692787148869	-0.152384911649262	-0.316417512797254	0.0578755410928018	-0.0905347725211929	0.0123177952462915	-0.206012475359416	-0.328377205969357	-0.0872143215879168	-0.393920208188868	-0.0424536845229944	0.46750292999179	-0.167204093173518	0.139475368532599	0.221335502600066	0.0201056555511054	0.214336430562475	-0.237369273991799	0.241126543777597	0.0937934532313803	1.18419266713072	-0.00366475672595024	0.570014747281114	0.0159017324800447	-0.335431542317384	0.033230640107884	0.142860548595883	-0.856125422983712	-0.149690836329823	0.0136933746250605	0.180270000586958	-0.238567567164471	-0.0443100492869884	0.243100710218095	-0.0672405269789662	-0.340456832144247
"Alo_pra"	-0.0183848404534547	0.0424733705114485	-0.0166130334697704	0.0266149377128643	0.007302922339392	0.0109594205022068	0.00967257731278116	0.0073883586001827	-0.0413803123086956	0.025385782628141	-0.0960196635213627	-0.0345518090705756	0.106329925592112	-0.184254281873822	-0.106354232448905	-0.217566671615568	-0.0287298130485768	-0.148434719991299	-0.074305565402551	0.0865379884217882	0.416520486026705	0.0614668610246617	0.292733207249289	0.0971895644592734	0.0720964293126797	-0.0823569302728696	-0.177016303752851	-0.148511017804433	-0.255195948953393	-0.0517454416932528	-0.0472134166987848	0.633650658603583	-0.106259635691917	0.000217714780405807	0.3559883938782	-0.0862143057881171	-0.130549233891959	0.447869173022856	0.269246359573602	0.104859014289605	-0.0586422972074963	-0.0410352874691147	0.377731766405867	0.0625824372011417	0.482289706108568	0.089216145166097	-0.0133603596075177	-0.00635259719810656	0.379203757704714	-0.0876960939252911	-0.0941261317376485
"Dac_glo"	-0.00799384254334012	0.0289483955057518	-0.0576220023201345	-0.209176407062514	-0.11646789091981	-0.0259014749224164	-0.00536408841378651	-0.0687757842613481	0.0698663420847071	-0.00588107316626089	0.279718075160874	-0.0192935046559999	-0.0397601327679749	0.00158754827605253	-0.0597188202457858	-0.0315550867153935	-0.171537377250632	0.302694284521771	0.110175230844989	0.293605492248423	-0.17310107286339	-0.196657196944956	-0.0779281908548785	-0.2017759170046	-0.311542082245224	0.0311170918957942	-0.159563541054991	-0.137012811869777	0.180820311381999	-0.0887859615581747	-0.278459060248574	-0.336537460585706	-0.0936725116310716	-0.0162014546804549	1.24471456410099	-0.15905704310954	-0.35071391509947	-0.914707009917662	-0.620860125415627	-0.0662564680401625	0.081202926143458	-0.0670322042176634	0.0278519123748097	0.139953618216924	-0.00124418753022417	-0.276400621125175	-0.0852530467906811	-0.132390305150344	-0.0414817064139228	-0.052658016642675	-0.113924719983603
"Tri_rep"	-0.121675013472163	-0.19631424025072	-0.103257452373971	-0.0907862958796228	-0.0433105964391861	-0.181732340441181	-0.173823119831228	-0.15249814333623	-0.218396794259753	-0.0179172469892288	-0.20605353394451	-0.0406718041070854	0.156905457416215	-0.149757589033674	-0.154598860510008	-0.354749695364713	-0.022767387816187	-0.12130004996495	0.0740167124098319	-0.0752861443630376	-0.163266017098702	0.0272457507299804	-0.131011053097961	-0.00773393426931682	-0.0648581935965318	-0.139156141776288	-0.0971266234594784	-0.140221623675093	-0.203565625565504	-0.382703558112107	-0.15602922314559	0.0818989418487804	0.264950856008456	-0.361833982795003	-1.00182846969454	-0.200559309013194	-0.0673044452527263	2.7344735345871	-0.164652782817042	-0.15214308654854	-0.0423650638509317	-0.210120480427428	-0.201442419605962	-0.662504338806894	0.00178987007932775	-0.759440782809257	-0.274658147193678	-0.185836133549135	0.0231750226139996	-0.162937806642788	-0.251353295963104
"Tar_sp"	-0.036055562858257	-0.0300534802191728	-0.051148474557135	-0.113346645539544	-0.113439718586678	0.0357033732366553	-0.0127741448032912	-0.0454237425709578	0.0441567359910117	-0.162002309646714	-0.0575318348450589	-0.00795876056813706	-0.071439060753756	-0.0629433135650906	-0.0567111265460528	0.129604703920239	-0.00552847859309524	-0.157731501101055	-0.193498469381021	-0.246076074952929	0.00123985928620764	-0.0957627939509586	-0.00371380337587589	-0.0977721334060466	0.0853139844433474	-0.169165500968381	-0.143128274710726	-0.127048831494207	0.0367613114402532	0.0984747470406805	-0.0609822905590042	0.0120196387036882	0.40546355137657	-0.353325714014785	-0.0776613802752504	-0.297190574546178	0.428786353479134	0.325001154976003	-0.0759280905192893	-0.190159643239351	0.0476969508768495	0.0260423781768219	0.340374810547521	-0.496646590584224	-0.51664960459178	0.200463765469033	0.134313201753318	-0.00512623325868395	0.260233279283798	-0.218837145368533	-0.0639123086037763
"Lol_per"	0.0498025700791712	0.100790089117519	0.00267776694027933	-0.0291276006503227	0.134848607667129	-0.0713522043899871	-0.143712727752772	0.0233340906454779	-0.0288382738640541	0.0394646424607578	-0.0148271486848859	0.0966987924880143	-0.0443086381097786	0.079475662230809	-0.0314170259880396	0.0462229761176772	-0.0122395141252785	0.0383735586978107	-0.169020896908707	0.0992086182369641	-0.161617409748056	0.111078739617193	-0.0887818322521416	-0.0365637307545535	-0.238194095830506	0.0315843399629795	-0.128767737435429	-0.0606778933670994	0.0843271209782972	-0.108771494736105	-0.155867228710161	-0.597912167684961	0.0909416375752122	0.405168867678883	-0.0672222949864183	0.135886404085845	0.0435604454436116	0.123980378852439	-0.0720118337469076	-0.0958699837302819	0.0210960451608034	-0.0552768806448247	-0.354524922342215	1.02116894219147	0.407902534202842	0.575609345896126	-0.289835192545291	0.110239067647059	-0.0495607962428498	-0.170389806350851	0.192701236901841
"Arr_ela"	-0.0165473038847884	-0.0292557580285868	-0.0130547129068852	0.0495068236840534	0.00955211145854373	-0.019077221586932	0.0206665512842163	-0.0867687198742193	0.0807264814812525	0.0429802890567367	0.01509376858545	0.050833448998375	0.276961386845531	0.0355640629792464	-0.0214000459221669	-0.341121310886864	0.123691653268923	-0.0913126277021965	-0.0629380821589013	-0.0175096854642055	-0.100929761524254	0.0904690646246959	-0.0406042289917535	0.102274758522469	0.119904654505301	0.12155575738969	-0.250429862808251	0.0957795948325324	-0.513844665493106	0.0553974237630257	0.237824863801135	-0.316265966343995	0.147389939034508	0.0630002924698126	0.180547534823758	0.399437120948983	0.0990513866971575	-0.995216348661495	-0.0509527372701699	0.124634413058236	-0.025878474502215	0.0072369709482031	-0.139428798879335	-0.651345143095403	0.324569624562752	0.300594402124475	0.974726686507885	-0.0476514506829561	-0.100247351963642	0.0050899397520027	0.130301524829773
"Fes_rub"	-0.0270842667409615	-0.0356848951852457	-0.0441438619249199	-0.0546408549852576	-0.0142613318072302	-0.0325678091831412	-0.0467484908174495	-0.0301732555322962	-0.15081282589843	-0.0454238183330085	-0.0750050499025351	-0.0180447086885022	-0.13134366936207	-0.0534910996918968	-0.055381063270094	-0.0947867925107609	-0.114911348618312	-0.149310649874182	0.0605983184369547	-0.083686514009327	0.00328154368591661	-0.0082459080067266	-0.0316928650137541	-0.136596305583365	-0.144926188817968	-0.270415678296111	-0.0759006148362019	-0.01650894961775	0.070698837606831	0.331949547674354	-0.334418713943769	-0.141462406945122	-0.108941107713641	-0.0122944893136377	-0.36438362414448	-0.0445158950840967	0.210879409927221	0.209825872862992	-0.324804772454059	0.250513608239134	0.213984321695244	-0.0204931119809233	-0.117373046790752	-0.126822642164199	-0.037763763866363	-0.341621353610181	-0.1044822453035	-0.053493018327554	-0.618776358405205	-0.0542802869871259	-0.152194082630662
"Fes_pra"	-0.0150520931366202	-0.00589475734954433	0.00356683098637806	-0.0416851931689639	-0.00748000470218147	-0.0154981812268056	5.14654937425383e-05	0.0402780688672136	-0.000229449558337622	0.0199280652176618	-0.0542332587164305	-0.00873038845345665	-0.0953264367919891	-0.0784492006625281	-0.0123302288311196	0.0401550449477101	0.0213962059274502	-0.140279095340321	-0.114324346608615	-0.12185674319327	0.0563030270648378	-0.244723956897013	-0.0967292897390023	-0.089348742492659	0.140881710865749	-0.168521397364736	-0.0412751535976721	-0.0644419708738239	0.0921949467113075	-0.0580723752705548	-0.0594687618309125	-0.925403137749659	-0.114703622328547	0.0573688815668294	-0.092077902544711	-0.128412642918172	0.00230845178972524	0.0845536577793951	-0.146574796200303	-0.129824129227646	-0.00798198131593358	-0.254026133269221	-0.0418036489178398	-0.225848849995774	-0.218348187276883	0.199705656613725	-0.135177761050649	0.55304342607171	-0.263388966596871	0.0709768920554221	0.506096633559497
